Half-degree cell series of precipitation
Centre Latitude:              4.25
Centre Longitude:           -74.75
CRU TS Version:               4.04
Units:                     mm/month 

  Yr  Mo     Value   N.Obs
1924   8     40.90     1
1924   9    141.00     0
1924  10    278.50     1
1924  11    444.00     1
1924  12    195.80     1
1925   1     98.60     2
1925   2    153.60     2
1925   3    300.40     2
1925   4    451.40     2
1925   5    165.60     2
1925   6    102.90     2
1925   7     86.00     2
1925   8    100.40     2
1925   9    181.40     2
1925  10    144.90     2
1925  11    185.90     2
1925  12     59.70     2
1926   1      7.80     2
1926   2     60.00     2
1926   3     84.70     2
1926   4     92.90     2
1926   5    153.70     2
1926   6    200.60     2
1926   7     75.50     2
1926   8    101.20     2
1926   9    110.40     2
1926  10    352.70     2
1926  11    232.00     2
1926  12    236.10     2
1927   1    106.80     2
1927   2    115.90     2
1927   3    187.10     2
1927   4    213.60     2
1927   5    285.10     2
1927   6    129.60     2
1927   7    104.90     2
1927   8    101.40     2
1927   9    201.30     2
1927  10    248.10     2
1927  11    224.50     2
1927  12    108.00     2
1928   1     63.00     2
1928   2     90.90     2
1928   3    199.00     2
1928   4    164.60     2
1928   5    238.40     2
1928   6    134.80     2
1928   7    107.90     2
1928   8     74.00     2
1928   9    114.30     2
1928  10    130.70     2
1928  11    383.30     2
1928  12    215.30     2
1929   1      6.50     2
1929   2      5.40     2
1929   3    188.60     2
1929   4    276.10     2
1929   5    292.20     2
1929   6    152.00     2
1929   7     80.80     2
1929   8     46.30     2
1929   9    122.70     2
1929  10    185.10     2
1929  11    117.40     2
1929  12     27.50     2
1930   1    116.20     3
1930   2    133.50     3
1930   3    158.50     3
1930   4    246.30     3
1930   5    107.80     3
1930   6    154.80     3
1930   7     90.50     3
1930   8     66.90     3
1930   9     84.40     3
1930  10    285.90     3
1930  11    106.80     3
1930  12     85.10     3
1931   1     66.10     3
1931   2    107.00     3
1931   3    116.30     3
1931   4    180.80     3
1931   5    263.10     3
1931   6    146.50     3
1931   7    133.10     3
1931   8     46.40     3
1931   9    160.30     3
1931  10    200.70     3
1931  11    262.60     3
1931  12    160.90     3
1932   1    166.30     2
1932   2     92.30     2
1932   3     60.90     2
1932   4     97.40     2
1932   5    205.80     2
1932   6    110.90     2
1932   7     73.50     2
1932   8     69.40     2
1932   9    159.60     2
1932  10    293.30     2
1932  11    272.50     2
1932  12    173.40     2
1933   1    115.90     3
1933   2     22.30     3
1933   3    183.50     3
1933   4    280.10     3
1933   5    242.70     3
1933   6    141.80     3
1933   7     58.20     3
1933   8    101.40     3
1933   9    130.50     3
1933  10    214.60     3
1933  11    360.40     3
1933  12    249.80     3
1934   1    106.50     2
1934   2    179.00     2
1934   3    150.80     2
1934   4     79.30     2
1934   5    294.90     2
1934   6    131.80     2
1934   7     94.50     2
1934   8     45.50     2
1934   9    103.00     2
1934  10    315.00     2
1934  11    300.70     2
1934  12    111.50     2
1935   1    156.10     2
1935   2    185.10     2
1935   3    254.90     2
1935   4    228.20     2
1935   5    205.30     2
1935   6    145.10     2
1935   7    100.10     2
1935   8    126.70     2
1935   9    115.80     2
1935  10    209.00     2
1935  11    481.50     2
1935  12     43.20     2
1936   1     68.30     2
1936   2     60.80     2
1936   3    153.60     2
1936   4    106.80     2
1936   5    256.90     2
1936   6    157.20     2
1936   7     85.20     2
1936   8     79.30     2
1936   9     92.60     2
1936  10    265.60     2
1936  11    127.70     2
1936  12    205.80     2
1937   1    189.10     2
1937   2    122.80     2
1937   3    239.00     2
1937   4     89.30     2
1937   5    209.10     2
1937   6     85.00     2
1937   7     78.70     2
1937   8     59.20     2
1937   9    224.40     2
1937  10    212.60     2
1937  11    250.00     2
1937  12    231.60     2
1938   1    190.30     2
1938   2    101.10     2
1938   3    271.80     2
1938   4    472.40     2
1938   5    332.60     2
1938   6     88.30     2
1938   7    110.20     2
1938   8    120.00     2
1938   9     50.70     2
1938  10    327.10     2
1938  11    337.90     2
1938  12    235.30     2
1939   1     43.50     2
1939   2     33.70     2
1939   3    147.40     2
1939   4    115.80     2
1939   5    154.60     2
1939   6    148.10     2
1939   7     72.00     2
1939   8     53.30     2
1939   9     80.70     2
1939  10    289.70     2
1939  11    161.70     2
1939  12    139.20     2
1940   1    107.00     2
1940   2     97.80     2
1940   3     56.50     2
1940   4     94.70     2
1940   5    187.70     2
1940   6    116.20     2
1940   7     37.50     2
1940   8     37.70     2
1940   9    113.20     2
1940  10    309.40     2
1940  11    346.10     2
1940  12    130.20     2
1941   1    103.40     3
1941   2    105.90     3
1941   3     58.90     3
1941   4    139.30     3
1941   5     75.60     3
1941   6     52.90     3
1941   7     31.60     3
1941   8     54.60     3
1941   9     89.40     3
1941  10    123.80     3
1941  11    169.50     3
1941  12     76.40     3
1942   1     75.70     3
1942   2     98.80     3
1942   3    110.10     3
1942   4    164.20     3
1942   5    192.30     3
1942   6     89.30     3
1942   7     66.30     3
1942   8     52.70     3
1942   9     95.30     3
1942  10    167.40     3
1942  11    134.20     3
1942  12    113.50     3
1943   1    224.30     3
1943   2    137.60     3
1943   3    133.50     3
1943   4    248.20     3
1943   5    176.30     3
1943   6    149.70     3
1943   7     54.10     3
1943   8    121.70     3
1943   9     61.80     3
1943  10    320.60     3
1943  11    217.10     3
1943  12    125.60     3
1944   1     69.90     3
1944   2     86.10     3
1944   3    114.10     3
1944   4    165.50     3
1944   5    272.30     3
1944   6    198.50     3
1944   7     26.30     3
1944   8     55.80     3
1944   9     67.50     3
1944  10    278.50     3
1944  11    151.10     3
1944  12    119.70     3
1945   1     63.00     3
1945   2     82.40     3
1945   3     63.50     3
1945   4    269.60     3
1945   5    315.30     3
1945   6     53.20     3
1945   7     58.20     3
1945   8     68.80     3
1945   9     79.70     3
1945  10    230.20     3
1945  11    330.30     3
1945  12    192.90     3
1946   1    146.60     3
1946   2     80.20     3
1946   3    135.40     3
1946   4    219.40     3
1946   5    172.00     3
1946   6     38.80     3
1946   7     45.40     3
1946   8     44.30     3
1946   9     50.20     3
1946  10    208.20     3
1946  11    240.90     3
1946  12     85.60     3
1947   1    116.00     3
1947   2    102.00     3
1947   3     85.30     3
1947   4     81.90     3
1947   5    167.10     3
1947   6    135.50     3
1947   7    119.60     3
1947   8     83.30     3
1947   9    177.10     3
1947  10    397.90     3
1947  11    133.30     3
1947  12     57.40     3
1948   1     18.80     3
1948   2     49.00     3
1948   3    127.30     3
1948   4    311.60     3
1948   5    163.20     3
1948   6     63.20     3
1948   7     45.90     3
1948   8     52.90     3
1948   9    164.10     3
1948  10    152.30     3
1948  11    155.30     3
1948  12     94.10     3
1949   1     90.10     4
1949   2     76.10     4
1949   3    152.20     4
1949   4    121.40     4
1949   5    211.60     4
1949   6    166.20     4
1949   7     91.20     4
1949   8     99.80     4
1949   9    141.20     4
1949  10    270.80     4
1949  11    173.90     4
1949  12     85.20     4
1950   1    115.50     4
1950   2    225.20     4
1950   3    208.10     4
1950   4    272.50     4
1950   5    303.30     4
1950   6    239.70     4
1950   7     62.90     4
1950   8    108.10     4
1950   9    151.10     4
1950  10    274.70     4
1950  11    214.00     4
1950  12    180.00     4
1951   1    105.80     7
1951   2    187.90     7
1951   3    130.80     7
1951   4    239.80     7
1951   5    217.20     7
1951   6    109.30     7
1951   7     70.30     7
1951   8     54.50     7
1951   9     78.60     7
1951  10    272.60     7
1951  11    251.90     6
1951  12    131.90     7
1952   1     99.10     8
1952   2     65.20     8
1952   3    133.10     8
1952   4    281.70     8
1952   5    261.00     8
1952   6    110.10     8
1952   7     85.30     8
1952   8     53.80     8
1952   9    106.80     8
1952  10    143.70     8
1952  11    327.10     8
1952  12    147.60     8
1953   1     95.10     8
1953   2     80.50     8
1953   3    158.40     8
1953   4    195.00     8
1953   5    299.00     8
1953   6    155.20     8
1953   7     49.20     8
1953   8     18.80     8
1953   9    232.00     8
1953  10    325.50     8
1953  11    295.20     8
1953  12    138.50     8
1954   1     72.80     8
1954   2    117.00     8
1954   3    131.60     8
1954   4    219.30     8
1954   5    248.50     8
1954   6    175.90     8
1954   7    104.70     8
1954   8     62.00     8
1954   9     80.20     8
1954  10    321.70     8
1954  11    239.00     8
1954  12    179.10     8
1955   1     95.80     8
1955   2    142.10     8
1955   3    208.40     8
1955   4    331.40     8
1955   5    189.60     8
1955   6    195.40     8
1955   7    125.40     8
1955   8     67.90     8
1955   9    161.40     8
1955  10    310.30     8
1955  11    220.40     8
1955  12    222.20     8
1956   1    140.80     8
1956   2    209.80     8
1956   3    190.00     8
1956   4    181.20     8
1956   5    238.00     8
1956   6    154.50     8
1956   7     49.70     8
1956   8     65.40     8
1956   9    157.30     8
1956  10    362.20     8
1956  11    157.90     8
1956  12    207.30     8
1957   1     42.80     8
1957   2     98.30     8
1957   3    200.50     8
1957   4    268.80     8
1957   5    400.00     8
1957   6     60.00     8
1957   7     46.90     8
1957   8     39.80     8
1957   9    116.10     8
1957  10    310.50     8
1957  11    166.50     8
1957  12     85.30     8
1958   1     50.10     8
1958   2     72.80     8
1958   3     88.30     8
1958   4    203.90     8
1958   5    213.10     8
