Half-degree cell series of temperature
Centre Latitude:              4.25
Centre Longitude:           -74.75
CRU TS Version:               4.04
Units:                     degrees C

  Yr  Mo     Value   N.Obs
2014   1     26.70     8
2014   2     26.50     8
2014   3     26.70     8
2014   4     26.50     8
2014   5     26.00     8
2014   6     26.40     8
2014   7     27.70     8
2014   8     27.20     8
2014   9     27.10     8
2014  10     26.00     8
2014  11     25.80     8
2014  12     26.20     8
2015   1     26.90     8
2015   2     26.80     8
2015   3     26.60     8
2015   4     26.30     8
2015   5     26.50     8
2015   6     26.60     8
2015   7     27.60     8
2015   8     27.90     8
2015   9     27.80     8
2015  10     26.60     8
2015  11     26.10     8
2015  12     27.20     8
2016   1     27.80     8
2016   2     27.70     8
2016   3     26.80     6
2016   4     26.80     8
2016   5     26.60     8
2016   6     26.30     8
2016   7     27.20     8
2016   8     27.70     8
2016   9     27.10     8
2016  10     26.40     8
2016  11     25.70     8
2016  12     25.90     8
2017   1     26.10     6
2017   2     26.20     8
2017   3     25.90     7
2017   4     26.20     8
2017   5     26.00     8
2017   6     25.80     8
2017   7     27.10     7
2017   8     26.50     2
2017   9     27.50     3
2017  10     26.20     7
2017  11     25.60     8
2017  12     25.80     6
2018   1     26.10     6
2018   2     26.20     7
2018   3     26.60     7
2018   4     25.50     7
2018   5     25.60     6
2018   6     26.00     5
2018   7     27.00     5
2018   8     27.00     7
2018   9     26.90     6
2018  10     26.00     5
2018  11     25.80     4
2018  12     26.00     5
2019   1     26.90     7
2019   2     26.90     8
2019   3     26.80     8
2019   4     26.40     7
2019   5     26.10     8
2019   6     26.40     8
2019   7     27.30     6
2019   8     27.60     7
2019   9     27.40     7
2019  10     25.80     6
2019  11     26.00     6
2019  12     26.50     5
